Daily rainfall(in mm) trends for Nalanda from 24-Jul-2018 to 15-Aug-2024

Dates,NORMAL (mm) ,ACTUAL (mm) 
"24-Jul-2018",7.8,11.9
"25-Jul-2018",10.6,18.08
"26-Jul-2018",8.5,39.25
"27-Jul-2018",7.9,22.1
"28-Jul-2018",7.7,32.27
"29-Jul-2018",17.5,75.92
"30-Jul-2018",11.2,13.15
"31-Jul-2018",5.8,8.68
"01-Aug-2018",8.4,3.37
"02-Aug-2018",8.5,3.94
"03-Aug-2018",8,4.03
"04-Aug-2018",11,1.46
"05-Aug-2018",9.5,22.12
"06-Aug-2018",8.6,31.75
"07-Aug-2018",8.6,3.75
"08-Aug-2018",7.5,3.54
"09-Aug-2018",7.3,2.28
"10-Aug-2018",11.2,0.02
"11-Aug-2018",4.9,1.09
"12-Aug-2018",11.5,7.93
"13-Aug-2018",7.2,1.32
"14-Aug-2018",10,11.26
"15-Aug-2018",8.2,2.29
"16-Aug-2018",8.1,4.5
"17-Aug-2018",8.1,3.73
"18-Aug-2018",10.1,0
"19-Aug-2018",8.2,4.82
"20-Aug-2018",5.7,1.58
"21-Aug-2018",8.9,7.36
"22-Aug-2018",10.5,2.41
"23-Aug-2018",11.8,16.93
"24-Aug-2018",8.2,3.05
"25-Aug-2018",7.2,30.84
"26-Aug-2018",9.8,2.4
"27-Aug-2018",8.5,8.69
"28-Aug-2018",7.7,2.43
"29-Aug-2018",5.7,0.11
"30-Aug-2018",8.2,4.07
"31-Aug-2018",6.8,9.2
"01-Sep-2018",7.1,8.85
"02-Sep-2018",5.5,19.04
"03-Sep-2018",4.4,3.31
"04-Sep-2018",7.1,25.82
"05-Sep-2018",7.6,5.51
"06-Sep-2018",4.9,0.05
"07-Sep-2018",4.8,1.76
"08-Sep-2018",8,1.81
"09-Sep-2018",8.3,0
"10-Sep-2018",9,4.19
"11-Sep-2018",10.8,1.3
"12-Sep-2018",10.1,0.74
"13-Sep-2018",9.3,2.89
"14-Sep-2018",7.1,1.27
"15-Sep-2018",7.6,1.7
"16-Sep-2018",6.9,0
"17-Sep-2018",9.8,0
"18-Sep-2018",5.6,0
"19-Sep-2018",7,0
"20-Sep-2018",9.7,0.01
"21-Sep-2018",3.6,22.46
"22-Sep-2018",5.8,11.47
"23-Sep-2018",5.6,0
"24-Sep-2018",6.8,0
"25-Sep-2018",3,0
"26-Sep-2018",4.7,0
"27-Sep-2018",6.4,0
"28-Sep-2018",5.1,0
"29-Sep-2018",6.3,0
"30-Sep-2018",5.4,0
"01-Oct-2018",4.3,0
"02-Oct-2018",6.3,0
"03-Oct-2018",4.9,0
"04-Oct-2018",3.8,0
"05-Oct-2018",4.5,0
"06-Oct-2018",2.4,0
"07-Oct-2018",2.7,0
"08-Oct-2018",1.5,0
"09-Oct-2018",2.6,0.03
"10-Oct-2018",3.1,0
"11-Oct-2018",2.7,0
"12-Oct-2018",0.6,18.39
"13-Oct-2018",0.9,0
"14-Oct-2018",1.2,0
"15-Oct-2018",0.8,0
"16-Oct-2018",0.8,0
"17-Oct-2018",2.4,0
"18-Oct-2018",2.2,0
"19-Oct-2018",1.2,0
"20-Oct-2018",1.7,0
"21-Oct-2018",1.9,0
"22-Oct-2018",0.5,0
"23-Oct-2018",2.1,0
"24-Oct-2018",0.4,0
"25-Oct-2018",0.2,0
"26-Oct-2018",0,0
"27-Oct-2018",0.1,0
