"Month","Average Volumetric Soil Moisture (%)"
"2018-07",27.42
"2018-08",29.51
"2018-09",24.09
"2018-10",14.55
"2018-11",13.18
"2018-12",11.57
"2019-01",12.58
"2019-02",17.53
"2019-03",15.15
"2019-04",13.17
"2019-05",7.04
"2019-06",12.71
"2019-07",26.71
"2019-08",28.93
"2019-09",29.18
"2019-10",22.14
"2019-11",16.88
"2019-12",16.38
"2020-01",17.57
"2020-02",17.05
"2020-03",19.44
"2020-04",17.78
"2020-05",17.8
"2020-06",24.95
"2020-07",29.75
"2020-08",27.88
"2020-09",30.69
"2020-10",21.56
"2020-11",15.65
"2020-12",15.51
"2021-01",15.04
"2021-02",14.84
"2021-03",15.05
"2021-04",15.13
"2021-05",24.17
"2021-06",28.92
"2021-07",27.12
"2021-08",27.84
"2021-09",25.83
"2021-10",24.86
"2021-12",16.8
"2022-01",21.94
"2022-02",20.26
"2022-03",16.14
"2022-04",15.54
"2022-05",20.01
"2022-06",22.86
"2022-07",22.53
"2022-08",25.97
"2022-09",26.21
"2022-10",23.54
"2022-11",16.72
"2022-12",15.51
"2023-01",15.23
"2023-02",15.16
"2023-03",16.57
"2023-04",16.65
"2023-05",18.87
"2023-06",20.02
"2023-07",23.68
"2023-08",26.62
"2023-09",25.01
"2023-10",21.54
"2023-11",15.91
"2023-12",17.58
"2024-01",16.29
"2024-02",17
"2024-03",17.1
"2024-04",14.35
"2024-05",18.75
"2024-06",18.81
"2024-07",23.47
"2024-08",29.14
